ID_Number,Name,Manufacturer,Cartridge,Country,Introduced,Type,Unspecified
58,Heckler & Koch MP5,Heckler & Koch,"9×19mm Parabellum, 10mm Auto, .40 S&W",West Germany,1966,SMG,Unspecified
59,Heckler & Koch MP7,Heckler & Koch,4.6×30mm,Germany,1999,"SMG, PDW",Unspecified
60,Heckler & Koch VP70,Heckler & Koch,9×19mm Parabellum,Germany,1970,MP,Unspecified
61,INA Model 953,Industria National de Armas S.A.,.45 ACP,Brazil,1950,SMG,Unspecified
62,Ingram Model 6,Unspecified,9×19mm Parabellum.38 Super.45 ACP,United States,1949,SMG,Unspecified
63,Interdynamic MP-9,Unspecified,9×19mm Parabellum,Sweden,1983,SMG,Unspecified
64,Jatimatic,Tampereen Asepaja Oy,9×19mm Parabellum,Finland,1982,SMG,Unspecified
65,KP m/44 submachine gun,Tikkakoski,9×19mm Parabellum,Finland,1944,SMG,Unspecified
66,KGP-9,Fegyver- és Gépgyár,9×19mm Parabellum,Hungary,1988,SMG,Unspecified
67,KIS (weapon),Jan Piwnik's Ponury guerrilla unit,9×19mm Parabellum,Poland,1943,SMG,Unspecified
68,KRISS Vector,KRISS USA Inc.,"9×19mm Parabellum, .45 ACP, .40 S&W, 9×21mm, 10mm Auto, .357 SIG, .22 LR",United States,2009,SMG,Unspecified
69,Labora Fontbernat M-1938,Unspecified,9×23mm Largo,Spain,1938,SMG,Unspecified
70,Lanchester submachine gun,Sterling Armaments Company,9×19mm Parabellum,United Kingdom,1940,SMG,Unspecified
71,Lehnar submachine gun,Made by Juan Lehnar (only one prototype made),9×19mm Parabellum,Argentina,1930,SMG,Unspecified
72,Lercker pistol,Italy,.25 ACP,Italy,1950,MP,Unspecified
73,Lettet–Forsøgs submachine gun,Dansk Industri Syndikat,9×19mm Parabellum,Denmark,1941,SMG,Unspecified
74,Lmg-Pist 41/44,Waffenfabrik Bern,7.65×21mm Parabellum,Switzerland,1941,MP,Unspecified
75,Lusa submachine gun,INDEP,9×19mm Parabellum,Portugal,1983,SMG,Unspecified
76,M2 Hyde,Marlin Firearms,.45 ACP,United States,1942,SMG,Unspecified
77,M3 Grease Gun,General Motors,.45 ACP9×19mm Parabellum,United States,1942,SMG,Unspecified
78,M49 submachine gun,Zastava Arms,7.62×25mm Tokarev,Yugoslavia,1949,SMG,Unspecified
79,M50 Reising,Harrington & Richardson,.45 ACP,United States,1941,SMG,Unspecified
80,M56 submachine gun,Zastava Arms,7.62×25mm Tokarev,Yugoslavia,1956,SMG,Unspecified
81,Smith & Wesson M76,Smith & Wesson,9×19mm Parabellum,United States,1967,SMG,Unspecified
82,MAC-10,Military Armament Corporation,.45 ACP,United States,1964,"SMG, MP",Unspecified
83,MAC-11,Military Armament Corporation,.380 ACP,United States,1972,"SMG, MP",Unspecified
84,Madsen M-50,Dansk Industri Syndikat,9×19mm Parabellum,Denmark,1950,SMG,Unspecified
85,Magpul FMG-9,Magpul Industries,9×19mm Parabellum,United States,2008,"SMG, Other",Unspecified
86,MAS-38,Manufacture d'armes de Saint-Étienne,7.65mm Longue,France,1938,SMG,Unspecified
87,MAT-49,Manufacture Nationale d'Armes de Tulle,9×19mm Parabellum7.62×25mm Tokarev[2],France,1949,SMG,Unspecified
88,Mekanika Uru,Mekanika Industria e Commercio,9×19mm Parabellum,Brazil,1977,SMG,Unspecified
89,Mendoza HM-3,Productos Mendoza,9mm calibre.380 ACP,Mexico,2012,SMG,Unspecified
90,Métral submachine gun,Made by Gérard Métral (only one prototype made),9×19mm Parabellum,Switzerland,1995,SMG,Unspecified
91,MGD PM-9,Unspecified,9×19mm Parabellum,France,1950,SMG,Unspecified
92,MGP submachine gun,SIMA Electronica,9×19mm Parabellum,Peru,1979,SMG,Unspecified
93,MGP-15 submachine gun,SIMA Electronica,9×19mm Parabellum,Peru,1990,SMG,Unspecified
94,MGV-176,GorenjeOrbis,.22 Long Rifle,Yugoslavia Slovenia,1979,SMG,Unspecified
95,Milkor BXP,Milkor (Pty) Ltd,9×19mm Parabellum,South Africa,1980s,SMG,Unspecified
96,Modern Sub Machine Carbine,OFT Trichy,5.56×30mm MINSAS,India,2006,SMG,Unspecified
97,Mors submachine gun,Państwowa Fabryka Karabinów,9×19mm Parabellum,Poland,1939,SMG,Unspecified
98,MOT-919[3][4][5][6],Mechanical and Chemical Industry Corporation,9×19mm Parabellum,Turkey,2021,SMG,Unspecified
99,Ruger MP9,"Sturm, Ruger & Co.",9×19mm Parabellum,United States,1995,"SMG, MP",Unspecified
100,MP 18,Bergmann Waffenfabrik,9×19mm Parabellum,Germany,1918,SMG,Unspecified
101,MP 34,Waffenfabrik Steyr,9×19mm Parabellum9×23mm Steyr9×25mm Mauser.45 ACP,Austria,1929,SMG,Unspecified
102,MP35,Bergmann,9×19mm Parabellum,Germany,1935,SMG,Unspecified
103,MP 38,Erma Werke,9×19mm Parabellum,Germany,1938,SMG,Unspecified
104,Maschinenpistole 40,Steyr-MannlicherErma Werke Haenel,9×19mm Parabellum,Germany,1940,SMG,Unspecified
105,MP 41,Haenel Company,9×19mm Parabellum,Germany,1941,SMG,Unspecified
106,MP 3008,Small machine shops,9×19mm Parabellum,Germany,1945,SMG,Unspecified
107,Onorati SMG,Umberto Onorati,9×19mm Parabellum,Italy,Prototype only 1936,SMG,Unspecified
108,Orita M1941,Uzinele Metalurgice Copșa Mică și Cugir,9×19mm Parabellum,Romania,1941,SMG,Unspecified
109,OTs-33 Pernach,KBP Instrument Design Bureau,9×18mm Makarov,Russia,1995,MP,Unspecified
110,OTs-02 Kiparis,KBP Instrument Design Bureau,9×18mm Makarov,Soviet Union,1972,SMG,Unspecified
111,OTs-23 Drotik,KBP Instrument Design Bureau,5.45×18mm,Russia,1993,SMG,Unspecified
112,Owen Gun,Lysaght's Works,9×19mm Parabellum,Australia,1939,SMG,Unspecified
113,Parinco mod. 3R,Parinco,9×19mm Parabellum,Spain,1959,SMG,Unspecified
